,stage,_target_,data,Dataset,device_id,files,model,Model,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_dir,files.data_file,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model.library,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init.class_weight,Condensing Method,model.init.distance_matrix,model.init.gamma,model.init.kernel,Condensing Ratio,model.init.max_iter,Metric,model.init.modified,model.init.name,Symmetric,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss.direction,scorers.log_loss.name,model_layers
6e65e2a4a824142fb9a19acd78c275ab,train,deckard.base.experiment.Experiment,6e65e2a4a824142fb9a19acd78c275ab,Truthseeker,cpu,6e65e2a4a824142fb9a19acd78c275ab,6e65e2a4a824142fb9a19acd78c275ab,k-SVC,6e65e2a4a824142fb9a19acd78c275ab,6e65e2a4a824142fb9a19acd78c275ab,0.525,16.40598675336414,cpu,1727413554.4700694,1727413532.1899772,26.85627574,0.06714068935,cpu,1727413532.1898808,1727413531.9574766,0.26007883,0.00026007883,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,6e65e2a4a824142fb9a19acd78c275ab,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,11.106363381252688,,Sum,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,scale,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
70aebb3bc847e4b7a001de6ee46803a9,train,deckard.base.experiment.Experiment,70aebb3bc847e4b7a001de6ee46803a9,Truthseeker,cpu,70aebb3bc847e4b7a001de6ee46803a9,70aebb3bc847e4b7a001de6ee46803a9,k-SVC,70aebb3bc847e4b7a001de6ee46803a9,70aebb3bc847e4b7a001de6ee46803a9,0.57,14.851857757220536,cpu,1727413359.7252152,1727413336.6958952,28.15876734,0.07039691835,cpu,1727413336.6957855,1727413326.656181,10.06834602,0.01006834602,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,70aebb3bc847e4b7a001de6ee46803a9,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,753.5081860688309,,KNN,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
710b67d5c0de6e5c7bced7d7b4d3e30f,train,deckard.base.experiment.Experiment,710b67d5c0de6e5c7bced7d7b4d3e30f,Truthseeker,cpu,710b67d5c0de6e5c7bced7d7b4d3e30f,710b67d5c0de6e5c7bced7d7b4d3e30f,k-SVC,710b67d5c0de6e5c7bced7d7b4d3e30f,710b67d5c0de6e5c7bced7d7b4d3e30f,0.5525,15.456286344131478,cpu,1727413739.9688225,1727413716.8396783,28.18993295,0.070474832375,cpu,1727413716.8395865,1727413716.5853586,0.27990366,0.00027990366,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,710b67d5c0de6e5c7bced7d7b4d3e30f,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,924.5071531713188,balanced,SVC,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
711af549a1e19d7ec10b5d61bdebe935,train,deckard.base.experiment.Experiment,711af549a1e19d7ec10b5d61bdebe935,Truthseeker,cpu,711af549a1e19d7ec10b5d61bdebe935,711af549a1e19d7ec10b5d61bdebe935,k-SVC,711af549a1e19d7ec10b5d61bdebe935,711af549a1e19d7ec10b5d61bdebe935,0.5725,14.765504819252532,cpu,1727413275.857278,1727413252.9429553,28.27932754,0.07069831885,cpu,1727413252.9428575,1727413243.007134,9.96599702,0.00996599702,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,711af549a1e19d7ec10b5d61bdebe935,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,987.1115930323836,balanced,KNN,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
727de689bbf303e07e8eb0ff25af68d5,train,deckard.base.experiment.Experiment,727de689bbf303e07e8eb0ff25af68d5,Truthseeker,cpu,727de689bbf303e07e8eb0ff25af68d5,727de689bbf303e07e8eb0ff25af68d5,k-SVC,727de689bbf303e07e8eb0ff25af68d5,727de689bbf303e07e8eb0ff25af68d5,0.57,14.851853759233386,cpu,1727413638.4114273,1727413614.8863268,28.62922608,0.0715730652,cpu,1727413614.8862362,1727413605.4665625,9.44490892,0.00944490892,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,727de689bbf303e07e8eb0ff25af68d5,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,999.4756160479084,balanced,KNN,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
72f698ed683ea6fc193a3d6029cd6284,train,deckard.base.experiment.Experiment,72f698ed683ea6fc193a3d6029cd6284,Truthseeker,cpu,72f698ed683ea6fc193a3d6029cd6284,72f698ed683ea6fc193a3d6029cd6284,k-SVC,72f698ed683ea6fc193a3d6029cd6284,72f698ed683ea6fc193a3d6029cd6284,0.565,15.024527651272184,cpu,1727413777.569952,1727413753.7209444,29.03363756,0.0725840939,cpu,1727413753.7208445,1727413753.4763217,0.2704757,0.0002704757,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,72f698ed683ea6fc193a3d6029cd6284,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,977.1936145631282,balanced,Random,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
7461fe283dc9b22ad97fa1730063db45,train,deckard.base.experiment.Experiment,7461fe283dc9b22ad97fa1730063db45,Truthseeker,cpu,7461fe283dc9b22ad97fa1730063db45,7461fe283dc9b22ad97fa1730063db45,k-SVC,7461fe283dc9b22ad97fa1730063db45,7461fe283dc9b22ad97fa1730063db45,0.495,17.442283977781017,cpu,1727413748.9803514,1727413726.1655474,28.02032398,0.07005080995,cpu,1727413726.1654556,1727413716.5535562,9.61407591,0.00961407591,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,7461fe283dc9b22ad97fa1730063db45,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,982.5888686903944,,KNN,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,precomputed,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
659b2cb38a645fa9dff1206b9da1d531,train,deckard.base.experiment.Experiment,659b2cb38a645fa9dff1206b9da1d531,Truthseeker,cpu,659b2cb38a645fa9dff1206b9da1d531,659b2cb38a645fa9dff1206b9da1d531,k-SVC,659b2cb38a645fa9dff1206b9da1d531,659b2cb38a645fa9dff1206b9da1d531,0.5225,16.492459630946673,cpu,1727413317.1184907,1727413294.9800391,27.16755712,0.0679188928,cpu,1727413294.9799528,1727413284.9576676,10.0488728,0.0100488728,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,659b2cb38a645fa9dff1206b9da1d531,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,84.7697509989918,balanced,KNN,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
769c74673ffb8f5798e9d5403fde94fb,train,deckard.base.experiment.Experiment,769c74673ffb8f5798e9d5403fde94fb,Truthseeker,cpu,769c74673ffb8f5798e9d5403fde94fb,769c74673ffb8f5798e9d5403fde94fb,k-SVC,769c74673ffb8f5798e9d5403fde94fb,769c74673ffb8f5798e9d5403fde94fb,0.57,14.851855758226964,cpu,1727413485.685615,1727413462.0779448,28.87049812,0.0721762453,cpu,1727413462.0778546,1727413452.2157505,9.89102787,0.00989102787,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,769c74673ffb8f5798e9d5403fde94fb,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,986.973302833684,balanced,KNN,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
573d8d85f464d0e815bd57ae13128943,train,deckard.base.experiment.Experiment,573d8d85f464d0e815bd57ae13128943,Truthseeker,cpu,573d8d85f464d0e815bd57ae13128943,573d8d85f464d0e815bd57ae13128943,k-SVC,573d8d85f464d0e815bd57ae13128943,573d8d85f464d0e815bd57ae13128943,0.5075,17.01048530505022,cpu,1727413435.1072042,1727413411.4589324,28.78661847,0.071966546175,cpu,1727413411.458839,1727413411.1987884,0.2865361,0.0002865361,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,573d8d85f464d0e815bd57ae13128943,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,0.0025708187699298,,Random,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
4ff3e6d6e17a4b3df3c827e635280579,train,deckard.base.experiment.Experiment,4ff3e6d6e17a4b3df3c827e635280579,Truthseeker,cpu,4ff3e6d6e17a4b3df3c827e635280579,4ff3e6d6e17a4b3df3c827e635280579,k-SVC,4ff3e6d6e17a4b3df3c827e635280579,4ff3e6d6e17a4b3df3c827e635280579,0.5275,16.319573845588874,cpu,1727413666.6605403,1727413642.5690324,28.77603165,0.071940079125,cpu,1727413642.568923,1727413642.321275,0.27730194,0.00027730194,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,4ff3e6d6e17a4b3df3c827e635280579,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,35.8372787718148,balanced,Sum,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
2423077e7d4fb12a7d026f7e3723f128,train,deckard.base.experiment.Experiment,2423077e7d4fb12a7d026f7e3723f128,Truthseeker,cpu,2423077e7d4fb12a7d026f7e3723f128,2423077e7d4fb12a7d026f7e3723f128,k-SVC,2423077e7d4fb12a7d026f7e3723f128,2423077e7d4fb12a7d026f7e3723f128,0.57,14.85185575822696,cpu,1727413277.4353004,1727413252.9595194,29.7773778,0.0744434445,cpu,1727413252.9594195,1727413243.0143597,9.96935972,0.00996935972,raw_data/truthseeker_undersampled_8000.csv,BotScoreBinary,0,True,True,400,1000,deckard.base.files.FileConfig,data,09f4c8829bb647c99cbb34cab5aefe6f,.pkl,truthseeker,2423077e7d4fb12a7d026f7e3723f128,predictions.json,reports/condense/svc/gzip/0.5/symmetry_true/modified_true/1000-400-0/,score_dict.json,train,sklearn,raw_data/truthseeker_undersampled_8000.csv,0,True,True,400,1000,BotScoreBinary,964.6704127323042,balanced,KNN,truthseeker/models/gzip/symmetry_true/modified_true/1000-400-0.npz,auto,rbf,0.5,1000,GZIP,Modified,gzip_classifier.GzipSVC,Symmetric,maximize,sklearn.metrics.accuracy_score,minimize,sklearn.metrics.log_loss,GzipSVC
